,Model,LL,Best LL - Ground Truth LL,Num Points,True Model,Observer Noise,Model Noise,RMS Distance,RMS:Sigma,Sampling Method
0,ground truth,-0.9991378986725384,0.17135404152167177,37,7D,21,21,3.9055349674527955,0.18597785559299027,gaussian
1,ground truth,-0.9995782074904423,0.1620373089826741,37,7D,22,22,3.5523979205619627,0.16147263275281648,gaussian
2,ground truth,-0.9994682071552974,0.16944986732927547,37,7D,23,23,3.535315515867789,0.15370937025512127,gaussian
3,ground truth,-0.9990252231943668,0.16561615993273482,37,7D,24,24,3.489374390021064,0.145390599584211,gaussian
4,ground truth,-0.9993369169363293,0.16633672771948416,37,7D,25,25,3.686270994934459,0.14745083979737836,gaussian
5,ground truth,-1.0006369412937206,0.16810744333116578,37,7D,26,26,3.7428868325787676,0.14395718586841413,gaussian
6,ground truth,-1.0003312800384014,0.16074358537155065,37,7D,27,27,3.299344926218208,0.12219796023030399,gaussian
7,ground truth,-0.9998452739710886,0.16626682752527977,37,7D,28,28,3.667593246957181,0.13098547310561362,gaussian
8,ground truth,-0.9996360663667335,0.17282231929262104,37,7D,29,29,3.414236834110345,0.11773230462449466,gaussian
9,ground truth,-0.9995831594514488,0.16388230562431483,37,7D,30,30,4.0887033584638575,0.13629011194879526,gaussian
10,ground truth,-0.9997531981790311,0.16760414888019337,37,7D,31,31,3.3540989022556364,0.10819673878243989,gaussian
11,ground truth,-0.9996599873750028,0.1657780917268764,37,7D,32,32,3.716255984794056,0.11613299952481425,gaussian
12,ground truth,-1.0003643312316688,0.15496210546449463,37,7D,33,33,4.075936782105288,0.12351323582137236,gaussian
13,ground truth,-0.9994543751292865,0.16913492698457988,37,7D,34,34,4.0025459057869375,0.11772193840549816,gaussian
14,ground truth,-0.9999726109506554,0.1662099202856584,37,7D,35,35,3.8210191898464676,0.10917197685275622,gaussian
15,ground truth,-1.000086812365546,0.16318518006351235,37,7D,36,36,3.717422067982033,0.10326172411061202,gaussian
16,ground truth,-0.9994547299792664,0.16511250886588047,37,7D,37,37,3.6221783778965175,0.09789671291612209,gaussian
17,ground truth,-0.9992512249843147,0.15957752122622793,37,7D,38,38,3.9916409908112844,0.105043183968718,gaussian
18,ground truth,-0.9997196398613549,0.171859503564312,37,7D,39,39,3.668726438007834,0.09406990866686754,gaussian
19,ground truth,-0.9997221392415829,0.1636504327033944,37,7D,40,40,3.8339437111707073,0.09584859277926769,gaussian
20,ground truth,-0.9997435012146125,0.1640045631372482,37,7D,41,41,3.7493772216771686,0.09144822491895534,gaussian
21,ground truth,-0.9995216206166344,0.166617662876555,37,7D,42,42,3.7619226740011324,0.08956958747621743,gaussian
22,ground truth,-0.9997227709508859,0.16495168397055815,37,7D,43,43,3.8012103661618233,0.08840024107353077,gaussian
23,ground truth,-0.9997489034192831,0.15835814463597186,37,7D,44,44,3.971893574546552,0.09027030851242163,gaussian
24,ground truth,-0.9999506711728052,0.1654291651875085,37,7D,45,45,3.9545382992584703,0.08787862887241045,gaussian
25,ground truth,-1.000002818123589,0.17129367155793163,37,7D,46,46,3.7280638210159904,0.08104486567426065,gaussian
26,ground truth,-0.9999981827888859,0.15577677183366823,37,7D,47,47,3.83070501121299,0.08150436194070192,gaussian
27,ground truth,-0.9998556070366311,0.16128856306100126,37,7D,48,48,3.7626289896649343,0.0783881039513528,gaussian
28,ground truth,-0.9999056338235887,0.1622156226437631,37,7D,49,49,3.449329956295856,0.07039448890399706,gaussian
29,ground truth,-1.0001010141641233,0.15837310398880433,37,7D,50,50,3.8205933186725742,0.07641186637345149,gaussian
30,ground truth,-0.9999169378683204,0.16410282599991777,37,7D,51,51,3.6071432448105556,0.07072829891785404,gaussian
31,ground truth,-0.9998025752747334,0.16501690473354336,37,7D,52,52,3.7061166257131446,0.07127147357140663,gaussian
32,ground truth,-0.9998889710057557,0.16466602044350453,37,7D,53,53,3.5913856630171046,0.06776199364183216,gaussian
33,ground truth,-0.9999270831372613,0.16635526744996199,37,7D,54,54,3.9034070182824436,0.07228531515337859,gaussian
34,ground truth,-0.999936615597146,0.16936087259391996,37,7D,55,55,3.681513024815444,0.06693660045118989,gaussian
35,ground truth,-0.9996731862962135,0.15765678095054825,37,7D,56,56,3.7441257033076507,0.06685938755906519,gaussian
36,ground truth,-0.9999152791897895,0.1661017378159897,37,7D,57,57,3.7863634455600743,0.06642742886947499,gaussian
37,ground truth,-0.9997035756858115,0.16621327306008205,37,7D,58,58,3.7148443210429853,0.0640490400179825,gaussian
38,ground truth,-1.0001269448268046,0.17013401484050583,37,7D,59,59,3.7019335471359844,0.06274463639213533,gaussian
39,ground truth,-0.9996159074328304,0.16424793262527726,37,7D,60,60,3.864623978362651,0.06441039963937752,gaussian
