,Model,LL,Best LL - Ground Truth LL,Num Points,True Model,Observer Noise,Model Noise,RMS Distance,RMS:Sigma,Sampling Method
0,ground truth,-0.12778200030094194,0.033227853535014326,37,6D,0.1,0.1,3.2342273650433806,32.3422736504338,gaussian
1,ground truth,-0.23472214357335539,0.05790012776921913,37,6D,0.2,0.2,3.421516233335228,17.107581166676137,gaussian
2,ground truth,-0.34656792535571934,0.08559351256843295,37,6D,0.30000000000000004,0.30000000000000004,3.2727953617158207,10.909317872386067,gaussian
3,ground truth,-0.4365424994649725,0.1082996300251311,37,6D,0.4,0.4,3.3428727963330807,8.357181990832702,gaussian
4,ground truth,-0.5425764810151279,0.12760410402427036,37,6D,0.5,0.5,3.200098794689758,6.400197589379516,gaussian
5,ground truth,-0.604766777687107,0.1359224837930576,37,6D,0.6,0.6,3.4470571412663626,5.745095235443938,gaussian
6,ground truth,-0.6796688105257398,0.14717821112405038,37,6D,0.7000000000000001,0.7000000000000001,3.4690762194626608,4.955823170660944,gaussian
7,ground truth,-0.7016124777740219,0.1524270847200505,37,6D,0.8,0.8,3.417556219582787,4.271945274478483,gaussian
8,ground truth,-0.7544158708869461,0.15953530985573172,37,6D,0.9,0.9,3.35260373481869,3.7251152609096554,gaussian
9,ground truth,-0.7574639303966612,0.1629821275398634,37,6D,1.0,1.0,3.5703813786033582,3.5703813786033582,gaussian
10,ground truth,-0.7921553532282501,0.1612771960481033,37,6D,1.1,1.1,3.602422459277672,3.274929508434247,gaussian
11,ground truth,-0.8337440777841247,0.16981402043834526,37,6D,1.2000000000000002,1.2000000000000002,3.4222757633067724,2.85189646942231,gaussian
12,ground truth,-0.8135428327738641,0.16399455009885722,37,6D,1.3000000000000003,1.3000000000000003,3.6700257539145884,2.823096733780452,gaussian
13,ground truth,-0.8547267923621635,0.16924938566006364,37,6D,1.4000000000000001,1.4000000000000001,3.593472726965271,2.566766233546622,gaussian
14,ground truth,-0.8675796722381047,0.1668336037804914,37,6D,1.5000000000000002,1.5000000000000002,3.6284587242943958,2.41897248286293,gaussian
15,ground truth,-0.8859367313481153,0.15907082198129996,37,6D,1.6,1.6,3.361139285131332,2.1007120532070824,gaussian
16,ground truth,-0.9030129123510837,0.17338582326329943,37,6D,1.7000000000000002,1.7000000000000002,3.587305174692855,2.1101795145252087,gaussian
17,ground truth,-0.9004560680724936,0.16665930001065166,37,6D,1.8000000000000003,1.8000000000000003,3.890326214347234,2.161292341304019,gaussian
18,ground truth,-0.9133366886137554,0.16687399258818714,37,6D,1.9000000000000001,1.9000000000000001,3.402795144666099,1.7909448129821572,gaussian
19,ground truth,-0.9329268756773589,0.16398388629593275,37,6D,2.0,2.0,3.5577496198588854,1.7788748099294427,gaussian
20,ground truth,-0.9295686469382188,0.16293526107672018,37,6D,2.1,2.1,3.5443073119897752,1.6877653866617977,gaussian
