,Model,LL,Best LL - Ground Truth LL,Num Points,True Model,Observer Noise,Model Noise,RMS Distance,RMS:Sigma,Sampling Method
0,ground truth,-0.02868601601759473,0.007026950457452458,37,2D,0.1,0.1,9.181816918605357,91.81816918605357,gaussian
1,ground truth,-0.030640080901852045,0.007159430236849174,37,2D,0.11,0.11,8.619860795324058,78.36237086658235,gaussian
2,ground truth,-0.029522498686802026,0.007731341549887919,37,2D,0.12,0.12,8.951740289024183,74.5978357418682,gaussian
3,ground truth,-0.03192741358220843,0.00832932842996166,37,2D,0.13,0.13,9.982848792459036,76.7911445573772,gaussian
4,ground truth,-0.03496040191942602,0.009779328090514981,37,2D,0.13999999999999999,0.13999999999999999,10.05477379375315,71.8198128125225,gaussian
5,ground truth,-0.047885597053585,0.012200430317183653,37,2D,0.14999999999999997,0.14999999999999997,8.984859299653342,59.89906199768896,gaussian
6,ground truth,-0.03377163481132102,0.008146145019147275,37,2D,0.15999999999999998,0.15999999999999998,10.999892823061431,68.74933014413396,gaussian
7,ground truth,-0.04001421681537696,0.01034152032657297,37,2D,0.16999999999999998,0.16999999999999998,10.652391328956275,62.66112546444868,gaussian
8,ground truth,-0.045977752632462884,0.0115907487668723,37,2D,0.17999999999999997,0.17999999999999997,10.088572807083953,56.04762670602197,gaussian
9,ground truth,-0.04777530649740454,0.012025227063374895,37,2D,0.18999999999999995,0.18999999999999995,9.633443037265353,50.70233177508082,gaussian
10,ground truth,-0.045785278946681024,0.01190121936891677,37,2D,0.19999999999999996,0.19999999999999996,10.482442727276565,52.41221363638284,gaussian
11,ground truth,-0.05665868927308154,0.01612379415601055,37,2D,0.20999999999999996,0.20999999999999996,10.294490994752623,49.021385689298214,gaussian
12,ground truth,-0.057422762102145614,0.015426208113650107,37,2D,0.21999999999999995,0.21999999999999995,10.537489077007304,47.89767762276048,gaussian
13,ground truth,-0.05991930184480953,0.01581903502560282,37,2D,0.22999999999999995,0.22999999999999995,9.846011627948624,42.808746208472286,gaussian
14,ground truth,-0.06229920800581368,0.016942234808114028,37,2D,0.23999999999999994,0.23999999999999994,9.314099191628225,38.80874663178428,gaussian
15,ground truth,-0.057283313607721265,0.01501639952672141,37,2D,0.24999999999999992,0.24999999999999992,11.371079955050709,45.48431982020285,gaussian
16,ground truth,-0.07121460423720485,0.017678287945488542,37,2D,0.2599999999999999,0.2599999999999999,9.292885376058468,35.74186683099412,gaussian
17,ground truth,-0.06022068234007435,0.016468739610729255,37,2D,0.2699999999999999,0.2699999999999999,10.342343172413186,38.30497471264144,gaussian
18,ground truth,-0.0723493027773436,0.01930533211717779,37,2D,0.2799999999999999,0.2799999999999999,9.893684084934998,35.33458601762501,gaussian
19,ground truth,-0.06627130406755574,0.01871660097108025,37,2D,0.2899999999999999,0.2899999999999999,10.239217317412065,35.307645922110574,gaussian
20,ground truth,-0.06975734416030806,0.01794325950367922,37,2D,0.29999999999999993,0.29999999999999993,10.889557385973005,36.298524619910026,gaussian
21,ground truth,-0.0740147736801412,0.018718662204499942,37,2D,0.30999999999999994,0.30999999999999994,10.778696379400548,34.76998832064694,gaussian
22,ground truth,-0.08121772851052554,0.020137872781662867,37,2D,0.3199999999999999,0.3199999999999999,10.186012610543045,31.831289407947025,gaussian
23,ground truth,-0.08535056285015939,0.02042572816750271,37,2D,0.32999999999999985,0.32999999999999985,10.311366466167438,31.246565048992252,gaussian
24,ground truth,-0.09217560061436382,0.02542412206449679,37,2D,0.33999999999999986,0.33999999999999986,9.030687092985168,26.56084439113286,gaussian
25,ground truth,-0.10492294174413014,0.026608767761640312,37,2D,0.34999999999999987,0.34999999999999987,8.91865206998224,25.481863057092124,gaussian
26,ground truth,-0.08244820251156844,0.021653898436499203,37,2D,0.3599999999999999,0.3599999999999999,11.02037324814752,30.6121479115209,gaussian
27,ground truth,-0.08233735809791887,0.022204862620145246,37,2D,0.3699999999999999,0.3699999999999999,10.683508428669999,28.874347104513518,gaussian
28,ground truth,-0.09488537486960703,0.02330536603530746,37,2D,0.3799999999999999,0.3799999999999999,10.468785100594825,27.549434475249548,gaussian
