,Model,LL,Best LL - Ground Truth LL,Num Points,True Model,Observer Noise,Model Noise,RMS Distance,RMS:Sigma,Sampling Method
0,ground truth,-0.9193987225976135,0.16779760429259516,37,2D,4.0,4.0,4.721070328108118,1.1802675820270294,gaussian
1,ground truth,-0.9375695950149529,0.1678378997180776,37,2D,4.01,4.01,3.7828668624080906,0.9433583198025164,gaussian
2,ground truth,-0.912928215935878,0.1697745750763261,37,2D,4.02,4.02,4.778733377008706,1.1887396460220663,gaussian
3,ground truth,-0.9388160810229499,0.16608042118010513,37,2D,4.029999999999999,4.029999999999999,3.5889356872487173,0.8905547611039002,gaussian
4,ground truth,-0.9404786805945407,0.16367264467566078,37,2D,4.039999999999999,4.039999999999999,3.8954440931724656,0.9642188349436798,gaussian
5,ground truth,-0.9355430886745976,0.16084961709350099,37,2D,4.049999999999999,4.049999999999999,3.8810339479948652,0.9582799871592262,gaussian
6,ground truth,-0.9418879052603124,0.1606352625980687,37,2D,4.059999999999999,4.059999999999999,3.6122933666902854,0.8897274302192824,gaussian
7,ground truth,-0.952737976551114,0.16269710905035928,37,2D,4.0699999999999985,4.0699999999999985,3.5694086048777405,0.8770045712230323,gaussian
8,ground truth,-0.940900729801906,0.16755858950258407,37,2D,4.079999999999998,4.079999999999998,3.5720382009944336,0.8754995590672635,gaussian
9,ground truth,-0.910981516343765,0.16709392612077134,37,2D,4.089999999999998,4.089999999999998,4.610002511270049,1.127139978305636,gaussian
10,ground truth,-0.9175842321287576,0.16794049461239868,37,2D,4.099999999999998,4.099999999999998,4.541945877902349,1.107791677537159,gaussian
11,ground truth,-0.9306082256107273,0.17437561525452527,37,2D,4.109999999999998,4.109999999999998,4.158588488750633,1.0118220167276484,gaussian
12,ground truth,-0.9313658618733845,0.16270899573456254,37,2D,4.119999999999997,4.119999999999997,4.317090271046492,1.0478374444287608,gaussian
13,ground truth,-0.9562680311955233,0.16163540449859026,37,2D,4.129999999999997,4.129999999999997,3.5841441931001787,0.8678315237530705,gaussian
14,ground truth,-0.9423934987653338,0.16275751538511174,37,2D,4.139999999999997,4.139999999999997,3.8099563544126345,0.9202793126600572,gaussian
15,ground truth,-0.9402185285820936,0.16620732257235027,37,2D,4.149999999999997,4.149999999999997,3.916383370234411,0.9437068362010635,gaussian
16,ground truth,-0.9096441068213232,0.1698548823568109,37,2D,4.159999999999997,4.159999999999997,4.514361606509041,1.0851830784877512,gaussian
17,ground truth,-0.9393158834050688,0.16485100620046678,37,2D,4.169999999999996,4.169999999999996,3.9865879667065256,0.9560162989703906,gaussian
18,ground truth,-0.9244042776386087,0.16645996963105703,37,2D,4.179999999999996,4.179999999999996,4.239008576921987,1.0141168844310982,gaussian
19,ground truth,-0.9595267080253421,0.168181428222004,37,2D,4.189999999999996,4.189999999999996,3.4795333614884485,0.8304375564411579,gaussian
20,ground truth,-0.9421915458825945,0.16961300431412052,37,2D,4.199999999999996,4.199999999999996,3.8348539298076925,0.913060459478023,gaussian
21,ground truth,-0.9210700181391902,0.17044988470268885,37,2D,4.2099999999999955,4.2099999999999955,4.51439860168129,1.0723037058625402,gaussian
22,ground truth,-0.9521806440984357,0.1718775754775067,37,2D,4.219999999999995,4.219999999999995,3.542628870842222,0.8394855144175891,gaussian
23,ground truth,-0.9367137019589571,0.16763580507324283,37,2D,4.229999999999995,4.229999999999995,3.9752456871128956,0.9397743941165249,gaussian
24,ground truth,-0.9276875481544354,0.1616571445726197,37,2D,4.239999999999995,4.239999999999995,4.138450678868122,0.9760496884122942,gaussian
25,ground truth,-0.9464583909362935,0.1634061733765464,37,2D,4.249999999999995,4.249999999999995,3.7558883916195147,0.8837384450869458,gaussian
26,ground truth,-0.9457887150004526,0.16601625440733947,37,2D,4.2599999999999945,4.2599999999999945,3.7834487136854156,0.8881335008651222,gaussian
27,ground truth,-0.9358774184809685,0.16346919480433564,37,2D,4.269999999999994,4.269999999999994,4.032549834471789,0.9443910619371884,gaussian
28,ground truth,-0.9340970176638598,0.16710689118386457,37,2D,4.279999999999994,4.279999999999994,4.161309654429723,0.9722686108480675,gaussian
29,ground truth,-0.9337110245919262,0.16982762550156294,37,2D,4.289999999999994,4.289999999999994,4.232478274046519,0.9865916722719174,gaussian
30,ground truth,-0.9474132031922903,0.1715144304365357,37,2D,4.299999999999994,4.299999999999994,3.6960142812129133,0.859538204933237,gaussian
31,ground truth,-0.9361868131379767,0.16352904242516209,37,2D,4.309999999999993,4.309999999999993,4.013825982513423,0.9312821305135567,gaussian
32,ground truth,-0.9445794543103736,0.17015172640487675,37,2D,4.319999999999993,4.319999999999993,3.9592323372855156,0.9164889669642412,gaussian
33,ground truth,-0.949752126045368,0.1700886593587484,37,2D,4.329999999999993,4.329999999999993,3.744578587639032,0.8647987500321104,gaussian
34,ground truth,-0.9575329904425556,0.163623585209423,37,2D,4.339999999999993,4.339999999999993,3.5038655572045503,0.8073422942867641,gaussian
35,ground truth,-0.9494492345987722,0.1615299197184562,37,2D,4.3499999999999925,4.3499999999999925,3.82842666602683,0.8800980841441004,gaussian
36,ground truth,-0.9429251137474924,0.1706815332926923,37,2D,4.359999999999992,4.359999999999992,3.960729430333729,0.9084241812692054,gaussian
37,ground truth,-0.9388222544778363,0.17452937018405879,37,2D,4.369999999999992,4.369999999999992,3.9998624381180883,0.915300329088809,gaussian
38,ground truth,-0.9541127702617354,0.16951063137928546,37,2D,4.379999999999992,4.379999999999992,3.721542555849946,0.8496672501940532,gaussian
39,ground truth,-0.9401992302532153,0.1661398798523236,37,2D,4.389999999999992,4.389999999999992,4.071044313748916,0.9273449461842651,gaussian
40,ground truth,-0.9534841519512146,0.15927426270991718,37,2D,4.3999999999999915,4.3999999999999915,3.6115763636330795,0.8208128099166105,gaussian
41,ground truth,-0.9432530614926181,0.1740034717930079,37,2D,4.409999999999991,4.409999999999991,4.0531958242919695,0.9190920236489745,gaussian
42,ground truth,-0.9506602001501904,0.1628112602891666,37,2D,4.419999999999991,4.419999999999991,3.639128970832576,0.8233323463422134,gaussian
43,ground truth,-0.9397100561994828,0.165757658693387,37,2D,4.429999999999991,4.429999999999991,4.212460370379123,0.9508939887989011,gaussian
44,ground truth,-0.951131995707083,0.1760254204602496,37,2D,4.439999999999991,4.439999999999991,3.6761187778485303,0.8279546796956166,gaussian
45,ground truth,-0.931009918667907,0.16623367686002488,37,2D,4.44999999999999,4.44999999999999,4.339539369055363,0.9751773863045782,gaussian
46,ground truth,-0.947190266945517,0.16760790666645153,37,2D,4.45999999999999,4.45999999999999,3.9713857207183287,0.8904452288606138,gaussian
47,ground truth,-0.9608121325481993,0.16356366116666254,37,2D,4.46999999999999,4.46999999999999,3.624973701252686,0.8109560852914305,gaussian
48,ground truth,-0.9541706776347018,0.16756270909778348,37,2D,4.47999999999999,4.47999999999999,3.5684665643274567,0.7965327152516662,gaussian
49,ground truth,-0.9243142247467676,0.16624485853137239,37,2D,4.4899999999999896,4.4899999999999896,4.585440248836865,1.0212561801418432,gaussian
50,ground truth,-0.9437808159227554,0.16453575710077206,37,2D,4.499999999999989,4.499999999999989,3.775887294083955,0.8390860653519919,gaussian
51,ground truth,-0.9574246793167506,0.16872583784940043,37,2D,4.509999999999989,4.509999999999989,3.675998725117433,0.8150773226424484,gaussian
