14.7162 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1440, 900]. Using actual size
17.9668 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

17.9689 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f95c48d2ac8>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f95c4833358>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
17.9692 	EXP 	window1: mouseVisible = True
17.9693 	EXP 	window1: recordFrameIntervals = False
18.1996 	EXP 	window1: recordFrameIntervals = True
18.2646 	WARNING 	t of last frame was 24.57ms (=1/40)
18.2869 	WARNING 	t of last frame was 22.27ms (=1/44)
18.3184 	WARNING 	t of last frame was 31.53ms (=1/31)
18.3524 	WARNING 	t of last frame was 21.13ms (=1/47)
18.3961 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
20.4571 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

22.9605 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
23.3974 	EXP 	text: autoDraw = True
31.1560 	EXP 	Imported conditions.csv as conditions, 111 conditions, 9 params
31.1706 	EXP 	Created sequence: sequential, trialTypes=111, nReps=1, seed=None
31.1738 	EXP 	Created stim1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim1', opacity=1, ori=0, pos=array([10.,  0.]), rgb=UNKNOWN, text='', units='deg', win=Window(...), wrapWidth=15.0)
31.1764 	EXP 	Created stim2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim2', opacity=1, ori=0, pos=array([7.07106781, 7.07106781]), rgb=UNKNOWN, text='', units='deg', win=Window(...), wrapWidth=15.0)
31.1789 	EXP 	Created stim3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim3', opacity=1, ori=0, pos=array([6.123234e-16, 1.000000e+01]), rgb=UNKNOWN, text='', units='deg', win=Window(...), wrapWidth=15.0)
31.1806 	EXP 	Created stim4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim4', opacity=1, ori=0, pos=array([-7.07106781,  7.07106781]), rgb=UNKNOWN, text='', units='deg', win=Window(...), wrapWidth=15.0)
31.1821 	EXP 	Created stim5 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim5', opacity=1, ori=0, pos=array([-1.0000000e+01,  1.2246468e-15]), rgb=UNKNOWN, text='', units='deg', win=Window(...), wrapWidth=15.0)
31.1846 	EXP 	Created stim6 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim6', opacity=1, ori=0, pos=array([-7.07106781, -7.07106781]), rgb=UNKNOWN, text='', units='deg', win=Window(...), wrapWidth=15.0)
31.1868 	EXP 	Created stim7 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim7', opacity=1, ori=0, pos=array([-1.8369702e-15, -1.0000000e+01]), rgb=UNKNOWN, text='', units='deg', win=Window(...), wrapWidth=15.0)
31.1885 	EXP 	Created stim8 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-7.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim8', opacity=1, ori=0, pos=array([ 7.07106781, -7.07106781]), rgb=UNKNOWN, text='', units='deg', win=Window(...), wrapWidth=15.0)
31.1899 	EXP 	Created ref = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-8.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='ref', opacity=1, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='deg', win=Window(...), wrapWidth=15.0)
31.1969 	EXP 	Created page = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-10.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.5, italic=False, languageStyle='LTR', name='page', opacity=1, ori=0, pos=array([ 20., -12.]), rgb=UNKNOWN, text='kjnk', units='deg', win=Window(...), wrapWidth=15.0)
31.1972 	EXP 	New trial (rep=0, index=0): OrderedDict([('ref', 'elephant'), ('stim1', 'shark'), ('stim2', 'giraffe'), ('stim3', 'ladybug'), ('stim4', 'snake'), ('stim5', 'dolphin'), ('stim6', 'cow'), ('stim7', 'cat'), ('stim8', 'hog')])
31.1973 	EXP 	window1: mouseVisible = True
31.2475 	DATA 	Keypress: space
31.2731 	EXP 	text: autoDraw = False
31.2731 	EXP 	stim1: text = 'shark'
31.2731 	EXP 	stim2: text = 'giraffe'
31.2731 	EXP 	stim3: text = 'ladybug'
31.2731 	EXP 	stim4: text = 'snake'
31.2731 	EXP 	stim5: text = 'dolphin'
31.2731 	EXP 	stim6: text = 'cow'
31.2731 	EXP 	stim7: text = 'cat'
31.2731 	EXP 	stim8: text = 'hog'
31.2731 	EXP 	ref: text = 'elephant'
31.2731 	EXP 	page: text = '1'
31.2731 	EXP 	page: autoDraw = True
31.2731 	EXP 	ref: autoDraw = True
31.2731 	EXP 	stim1: autoDraw = True
31.2731 	EXP 	stim2: autoDraw = True
31.2731 	EXP 	stim3: autoDraw = True
31.2731 	EXP 	stim4: autoDraw = True
31.2731 	EXP 	stim5: autoDraw = True
31.2731 	EXP 	stim6: autoDraw = True
31.2731 	EXP 	stim7: autoDraw = True
31.2731 	EXP 	stim8: autoDraw = True
31.2974 	EXP 	page: autoDraw = True
31.3229 	EXP 	page: autoDraw = True
31.3507 	EXP 	page: autoDraw = True
31.3787 	EXP 	page: autoDraw = True
31.4062 	EXP 	page: autoDraw = True
31.4419 	EXP 	page: autoDraw = True
31.4683 	EXP 	page: autoDraw = True
31.4932 	EXP 	page: autoDraw = True
31.5217 	EXP 	page: autoDraw = True
31.5533 	EXP 	page: autoDraw = True
31.5825 	EXP 	page: autoDraw = True
31.6096 	EXP 	page: autoDraw = True
31.6374 	EXP 	page: autoDraw = True
31.6667 	EXP 	page: autoDraw = True
31.6978 	EXP 	page: autoDraw = True
31.7258 	EXP 	page: autoDraw = True
31.7548 	EXP 	page: autoDraw = True
31.7864 	EXP 	page: autoDraw = True
31.8163 	EXP 	page: autoDraw = True
31.8509 	EXP 	page: autoDraw = True
31.8761 	EXP 	page: autoDraw = True
31.9029 	EXP 	page: autoDraw = True
31.9337 	EXP 	page: autoDraw = True
31.9646 	EXP 	page: autoDraw = True
31.9870 	EXP 	page: autoDraw = True
32.0175 	EXP 	page: autoDraw = True
32.0543 	EXP 	page: autoDraw = True
32.0822 	EXP 	page: autoDraw = True
32.1072 	EXP 	page: autoDraw = True
32.1390 	EXP 	page: autoDraw = True
32.1711 	EXP 	page: autoDraw = True
32.2017 	EXP 	page: autoDraw = True
32.2336 	EXP 	page: autoDraw = True
32.2713 	EXP 	page: autoDraw = True
32.2968 	EXP 	page: autoDraw = True
32.3257 	EXP 	page: autoDraw = True
32.3524 	EXP 	page: autoDraw = True
32.3834 	EXP 	page: autoDraw = True
32.4090 	EXP 	page: autoDraw = True
32.4371 	EXP 	page: autoDraw = True
