46.0258 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1440, 900]. Using actual size
50.1786 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

50.1809 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x138dc87f0>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x138ed4278>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
50.1810 	EXP 	window1: recordFrameIntervals = False
50.4112 	EXP 	window1: recordFrameIntervals = True
50.5111 	WARNING 	t of last frame was 49.93ms (=1/20)
50.6281 	WARNING 	t of last frame was 50.34ms (=1/19)
50.7422 	WARNING 	t of last frame was 48.07ms (=1/20)
50.8608 	WARNING 	t of last frame was 49.39ms (=1/20)
50.9759 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
52.7453 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

54.8959 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
55.3512 	EXP 	text: autoDraw = True
64.1443 	DATA 	Keypress: space
67.6556 	EXP 	Imported trial_conditions.csv as conditions, 111 conditions, 9 params
67.6562 	EXP 	Created sequence: sequential, trialTypes=111, nReps=1, seed=None
67.6571 	EXP 	Created stim1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim1', opacity=1.0, ori=0, pos=array([10.,  0.]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
67.6577 	EXP 	Created stim2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim2', opacity=1.0, ori=0, pos=array([7.07106781, 7.07106781]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
67.6582 	EXP 	Created stim3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim3', opacity=1.0, ori=0, pos=array([6.123234e-16, 1.000000e+01]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
67.6586 	EXP 	Created stim4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim4', opacity=1.0, ori=0, pos=array([-7.07106781,  7.07106781]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
67.6589 	EXP 	Created stim5 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim5', opacity=1.0, ori=0, pos=array([-1.0000000e+01,  1.2246468e-15]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
67.6593 	EXP 	Created stim6 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim6', opacity=1.0, ori=0, pos=array([-7.07106781, -7.07106781]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
67.6597 	EXP 	Created stim7 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-7.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim7', opacity=1.0, ori=0, pos=array([-1.8369702e-15, -1.0000000e+01]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
67.6603 	EXP 	Created stim8 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-8.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim8', opacity=1.0, ori=0, pos=array([ 7.07106781, -7.07106781]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
67.6607 	EXP 	Created ref = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-9.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='ref', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
67.6653 	EXP 	Created page = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-10.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.5, italic=False, languageStyle='LTR', name='page', opacity=1.0, ori=0, pos=array([ 20., -12.]), rgb=array([255., 255., 255.]), text='kjnk', units='deg', win=Window(...), wrapWidth=15.0)
67.6655 	EXP 	New trial (rep=0, index=0): OrderedDict([('ref', 'bluebird'), ('stim1', 'ladybug'), ('stim2', 'snake'), ('stim3', 'whale'), ('stim4', 'pigeon'), ('stim5', 'elephant'), ('stim6', 'tiger'), ('stim7', 'ant'), ('stim8', 'shark')])
67.7005 	DATA 	Keypress: space
67.7281 	EXP 	text: autoDraw = False
67.7281 	EXP 	stim1: text = 'ladybug'
67.7281 	EXP 	stim2: text = 'snake'
67.7281 	EXP 	stim3: text = 'whale'
67.7281 	EXP 	stim4: text = 'pigeon'
67.7281 	EXP 	stim5: text = 'elephant'
67.7281 	EXP 	stim6: text = 'tiger'
67.7281 	EXP 	stim7: text = 'ant'
67.7281 	EXP 	stim8: text = 'shark'
67.7281 	EXP 	ref: text = 'bluebird'
67.7281 	EXP 	page: text = '1'
67.7281 	EXP 	stim1: color = 'white (named)'
67.7281 	EXP 	stim2: color = 'white (named)'
67.7281 	EXP 	stim3: color = 'white (named)'
67.7281 	EXP 	stim4: color = 'white (named)'
67.7281 	EXP 	stim5: color = 'white (named)'
67.7281 	EXP 	stim6: color = 'white (named)'
67.7281 	EXP 	stim7: color = 'white (named)'
67.7281 	EXP 	stim8: color = 'white (named)'
67.7281 	EXP 	page: autoDraw = True
67.7281 	EXP 	stim1: autoDraw = True
67.7281 	EXP 	stim2: autoDraw = True
67.7281 	EXP 	stim3: autoDraw = True
67.7281 	EXP 	stim4: autoDraw = True
67.7281 	EXP 	stim5: autoDraw = True
67.7281 	EXP 	stim6: autoDraw = True
67.7281 	EXP 	stim7: autoDraw = True
67.7281 	EXP 	stim8: autoDraw = True
67.7281 	EXP 	ref: autoDraw = True
67.7787 	EXP 	page: autoDraw = True
67.7968 	EXP 	page: autoDraw = True
67.8138 	EXP 	page: autoDraw = True
67.8309 	EXP 	page: autoDraw = True
67.8853 	EXP 	page: autoDraw = True
67.9124 	EXP 	page: autoDraw = True
67.9319 	EXP 	page: autoDraw = True
67.9945 	EXP 	page: autoDraw = True
68.0139 	EXP 	page: autoDraw = True
68.0322 	EXP 	page: autoDraw = True
68.0639 	EXP 	page: autoDraw = True
68.1144 	EXP 	page: autoDraw = True
68.1348 	EXP 	page: autoDraw = True
68.1636 	EXP 	page: autoDraw = True
68.2232 	EXP 	page: autoDraw = True
68.2474 	EXP 	page: autoDraw = True
68.2810 	EXP 	page: autoDraw = True
68.3325 	EXP 	page: autoDraw = True
68.3654 	EXP 	page: autoDraw = True
68.3998 	EXP 	page: autoDraw = True
68.4666 	EXP 	page: autoDraw = True
68.4997 	EXP 	page: autoDraw = True
68.5569 	EXP 	page: autoDraw = True
68.5840 	EXP 	page: autoDraw = True
68.6164 	EXP 	page: autoDraw = True
68.6844 	EXP 	page: autoDraw = True
68.7175 	EXP 	page: autoDraw = True
68.7831 	EXP 	page: autoDraw = True
68.8177 	EXP 	page: autoDraw = True
68.8510 	EXP 	page: autoDraw = True
68.9010 	EXP 	page: autoDraw = True
68.9342 	EXP 	page: autoDraw = True
68.9681 	EXP 	page: autoDraw = True
69.0180 	EXP 	page: autoDraw = True
69.0507 	EXP 	page: autoDraw = True
