29.9593 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1440, 900]. Using actual size
34.7016 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

34.7020 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x1390c17f0>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1391fce48>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
34.7020 	EXP 	window1: recordFrameIntervals = False
35.0131 	EXP 	window1: recordFrameIntervals = True
35.0793 	WARNING 	t of last frame was 29.48ms (=1/33)
35.1295 	WARNING 	t of last frame was 50.16ms (=1/19)
35.1960 	WARNING 	t of last frame was 29.43ms (=1/33)
35.2460 	WARNING 	t of last frame was 49.92ms (=1/20)
35.3123 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
37.7426 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

39.9977 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
40.4492 	EXP 	text: autoDraw = True
45.4055 	EXP 	Imported trial_conditions.csv as conditions, 111 conditions, 9 params
45.4061 	EXP 	Created sequence: sequential, trialTypes=111, nReps=1, seed=None
45.4070 	EXP 	Created stim1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim1', opacity=1.0, ori=0, pos=array([10.,  0.]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
