19.1552 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1440, 900]. Using actual size
22.2851 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

22.2854 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x137d1b7f0>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x13907f278>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
22.2855 	EXP 	window1: recordFrameIntervals = False
22.5150 	EXP 	window1: recordFrameIntervals = True
22.6343 	WARNING 	t of last frame was 49.68ms (=1/20)
22.7490 	WARNING 	t of last frame was 47.68ms (=1/20)
22.8682 	WARNING 	t of last frame was 50.27ms (=1/19)
22.9847 	WARNING 	t of last frame was 50.97ms (=1/19)
23.0991 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
24.8677 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

27.0114 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
27.4208 	EXP 	text: autoDraw = True
28.0654 	EXP 	Imported trial_conditions.csv as conditions, 37 conditions, 9 params
28.0657 	EXP 	Created sequence: sequential, trialTypes=37, nReps=1, seed=None
28.0666 	EXP 	Created stim1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim1', opacity=1.0, ori=0, pos=array([10.,  0.]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
28.0670 	EXP 	Created stim2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim2', opacity=1.0, ori=0, pos=array([7.07106781, 7.07106781]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
28.0675 	EXP 	Created stim3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim3', opacity=1.0, ori=0, pos=array([6.123234e-16, 1.000000e+01]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
28.0679 	EXP 	Created stim4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim4', opacity=1.0, ori=0, pos=array([-7.07106781,  7.07106781]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
28.0683 	EXP 	Created stim5 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim5', opacity=1.0, ori=0, pos=array([-1.0000000e+01,  1.2246468e-15]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
28.0687 	EXP 	Created stim6 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim6', opacity=1.0, ori=0, pos=array([-7.07106781, -7.07106781]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
28.0691 	EXP 	Created stim7 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-7.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim7', opacity=1.0, ori=0, pos=array([-1.8369702e-15, -1.0000000e+01]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
28.0695 	EXP 	Created stim8 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-8.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim8', opacity=1.0, ori=0, pos=array([ 7.07106781, -7.07106781]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
28.0699 	EXP 	Created ref = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-9.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='ref', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
28.0760 	EXP 	Created page = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-10.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.5, italic=False, languageStyle='LTR', name='page', opacity=1.0, ori=0, pos=array([ 20., -12.]), rgb=array([255., 255., 255.]), text='kjnk', units='deg', win=Window(...), wrapWidth=15.0)
28.0762 	EXP 	New trial (rep=0, index=0): OrderedDict([('ref', 'elephant'), ('stim1', 'shark'), ('stim2', 'monkey'), ('stim3', 'bat'), ('stim4', 'snail'), ('stim5', 'turkey'), ('stim6', 'cat'), ('stim7', 'tiger'), ('stim8', 'butterfly')])
28.1117 	DATA 	Keypress: space
28.1638 	EXP 	text: autoDraw = False
28.1638 	EXP 	stim1: text = 'shark'
28.1638 	EXP 	stim2: text = 'monkey'
28.1638 	EXP 	stim3: text = 'bat'
28.1638 	EXP 	stim4: text = 'snail'
28.1638 	EXP 	stim5: text = 'turkey'
28.1638 	EXP 	stim6: text = 'cat'
28.1638 	EXP 	stim7: text = 'tiger'
28.1638 	EXP 	stim8: text = 'butterfly'
28.1638 	EXP 	ref: text = 'elephant'
28.1638 	EXP 	page: text = '1'
28.1638 	EXP 	stim1: color = 'white (named)'
28.1638 	EXP 	stim2: color = 'white (named)'
28.1638 	EXP 	stim3: color = 'white (named)'
28.1638 	EXP 	stim4: color = 'white (named)'
28.1638 	EXP 	stim5: color = 'white (named)'
28.1638 	EXP 	stim6: color = 'white (named)'
28.1638 	EXP 	stim7: color = 'white (named)'
28.1638 	EXP 	stim8: color = 'white (named)'
28.1638 	EXP 	page: autoDraw = True
28.1638 	EXP 	stim1: autoDraw = True
28.1638 	EXP 	stim2: autoDraw = True
28.1638 	EXP 	stim3: autoDraw = True
28.1638 	EXP 	stim4: autoDraw = True
28.1638 	EXP 	stim5: autoDraw = True
28.1638 	EXP 	stim6: autoDraw = True
28.1638 	EXP 	stim7: autoDraw = True
28.1638 	EXP 	stim8: autoDraw = True
28.1638 	EXP 	ref: autoDraw = True
28.1850 	EXP 	page: autoDraw = True
28.2024 	EXP 	page: autoDraw = True
28.2193 	EXP 	page: autoDraw = True
28.2367 	EXP 	page: autoDraw = True
28.2852 	EXP 	page: autoDraw = True
28.3022 	EXP 	page: autoDraw = True
28.3188 	EXP 	page: autoDraw = True
28.3343 	EXP 	page: autoDraw = True
28.3517 	EXP 	page: autoDraw = True
28.4185 	EXP 	page: autoDraw = True
28.4351 	EXP 	page: autoDraw = True
28.4534 	EXP 	page: autoDraw = True
28.4707 	EXP 	page: autoDraw = True
28.5182 	EXP 	page: autoDraw = True
28.5354 	EXP 	page: autoDraw = True
28.5519 	EXP 	page: autoDraw = True
28.5838 	EXP 	page: autoDraw = True
28.6349 	EXP 	page: autoDraw = True
28.6518 	EXP 	page: autoDraw = True
28.6695 	EXP 	page: autoDraw = True
28.7012 	EXP 	page: autoDraw = True
28.7515 	EXP 	page: autoDraw = True
